Region,Zone,Woreda,Period,BCG Distributed,BCG Administered,IPV Distributed,IPV Administered,Measles Distributed,Measles Administered,Penta Distributed,Penta Administered,Rota Distributed,Rota Administered
Amhara,South Wollo,Albuko,2016,4540,3035,4615,4317,8170,5962,7541,9032,5047,4317
Amhara,South Wollo,Ambasel,2016,5340,4704,6180,5276,12330,9483,10235,14569,6393,5276
Amhara,South Wollo,Amhara Saint,2016,8540,5721,8400,6017,76600,11359,13785,17411,9504,6017
Amhara,South Wollo,Argoba,2016,3500,1917,2640,2572,4080,4390,5732,6411,4384,2572
Amhara,South Wollo,Borena,2016,9300,6700,9225,6705,15120,12506,14533,19762,10145,6705
Amhara,South Wollo,Delanta,2016,6820,4064,4670,4317,6230,7455,9589,12276,6289,4317
Amhara,South Wollo,Dessie Zuria,2016,1420,5624,1385,5697,1930,10423,2272,16940,1674,5697
Amhara,South Wollo,Jamma,2016,6900,5091,5700,5380,13660,10080,12121,15828,6716,5380
Amhara,South Wollo,Kallu,2016,13100,8320,12365,8384,23090,16096,24388,24861,15542,8384
Amhara,South Wollo,Kelala,2016,9860,6309,8615,6399,19000,12208,17538,19013,10845,6399
Amhara,South Wollo,Kutaber,2016,6120,3565,5295,3645,12740,6933,11285,10761,6845,3645
Amhara,South Wollo,Legambo,2016,9520,6606,8575,6619,16220,13075,14966,19763,9992,6619
Amhara,South Wollo,Legehida,2016,3260,2564,3405,2530,5450,5161,5891,7534,4062,2530
Amhara,South Wollo,Mehal Saint,2016,4820,2589,3450,3019,8840,5576,7738,8444,4954,3019
Amhara,South Wollo,Mekdela,2016,8820,5616,8930,6862,16360,12029,15720,17447,10745,6862
Amhara,South Wollo,Tehuledre,2016,7000,5256,6675,5435,12670,10438,12881,15958,8093,5435
Amhara,South Wollo,Tenta,2016,8520,5907,9100,6040,16020,11170,14257,18044,9932,6040
Amhara,South Wollo,Wogidi,2016,7760,5360,6780,5062,12610,9811,13621,15084,9000,5062
Amhara,South Wollo,Worebabo,2016,5460,3550,4970,3847,8920,7227,9646,10763,5581,3847
Amhara,South Wollo,Woreilu,2016,6940,4559,6685,4808,12050,9811,13439,13606,8537,4808
Amhara,Waghimera,Abergele,2016,2880,1494,5355,3585,11140,3703,9553,8916,7629,3585
Amhara,Waghimera,Dehana,2016,5760,4912,6530,5772,13320,9608,13474,16011,9382,5772
Amhara,Waghimera,Gazgibla,2016,3720,2384,4865,3803,9880,5808,8700,9919,5539,3803
Amhara,Waghimera,Sehala,2016,1280,1027,1560,1407,14590,2165,3639,4353,2086,1407
Amhara,Waghimera,Sekota Town,2016,1840,2065,2145,2033,2030,2668,3369,5971,2530,2033
Amhara,Waghimera,Sekota Zuria,2016,13100,3891,11605,4824,59270,8522,25348,12957,16372,4824
Amhara,Waghimera,Tsagibji,2016,1620,1700,2280,2083,7480,3027,4815,6762,3674,2083
Amhara,Waghimera,Ziquala,2016,3280,2419,3080,2749,27880,5048,7001,8041,3937,2749
Amhara,West Gojjam,Bure Town,2016,3060,2384,1550,2507,1700,4420,3852,7399,2869,2507
Amhara,West Gojjam,Bure Zuria,2016,6460,2003,2850,2170,7940,3806,9419,6747,5897,2170
Amhara,West Gojjam,Dega Damot,2016,6880,3604,2110,8592,4370,11612,6333,16759,4485,8592
Amhara,West Gojjam,Dembecha,2016,11640,4941,5695,4560,12750,8131,14673,14108,8680,4560
Amhara,West Gojjam,Finote Selam Town,2016,7060,2629,4020,2331,6380,3955,8473,7205,5588,2331
Amhara,West Gojjam,Jabi Tehnan,2016,9840,4413,4025,4495,9470,9039,11167,14526,7732,4495
Amhara,West Gojjam,Quarit,2016,7460,957,4130,1714,8700,2923,8400,5508,6200,1714
Amhara,West Gojjam,Sekela,2016,8400,2453,4395,2932,8540,5024,7726,9009,5197,2932
Amhara,West Gojjam,Wenberma,2016,6960,3247,3390,3380,8130,6508,8151,10564,5495,3380
Amhara,West Gondar,Adagnager Chako,2016,2580,1400,1495,2926,3730,4049,4297,5684,2780,2926
Amhara,West Gondar,Gendawuha,2016,6600,1408,6390,1511,26250,2522,12294,4215,7418,1511
Amhara,West Gondar,Metema,2016,7460,5300,4470,6582,7590,10712,12603,16180,8776,6582
Amhara,West Gondar,Quara,2016,6380,5238,4275,5424,8600,9677,10843,16281,7279,5424
Amhara,West Gondar,West Armachho,2016,3080,1980,1820,2222,22740,3583,5990,6059,3759,2222
Amhara,Woldia Town,Woldia Town,2016,4540,4128,5215,3938,7390,6659,9766,12737,6472,3938
Benishangul-Gumuz,Asossa,Abrahamo Woreda,2016,2940,1090,2180,1375,7200,2475,5389,4020,3285,2645
Benishangul-Gumuz,Asossa,Bambasi,2016,6200,2247,8100,2260,4820,3542,9338,6798,6979,4545
Benishangul-Gumuz,Asossa,Buldigilu Woreda,2016,4120,2461,3005,2381,6270,4495,5394,7219,4542,4781
Benishangul-Gumuz,Asossa,Homesha,2016,3740,796,2725,860,3470,1618,7324,2643,5019,1783
Benishangul-Gumuz,Asossa,Kurmuk,2016,1900,910,1610,915,2760,1497,3127,2852,2572,1930
Benishangul-Gumuz,Asossa,Menge,2016,3380,1931,2585,1808,5410,3335,5656,5446,3940,3648
Benishangul-Gumuz,Asossa,Oura,2016,4980,1290,3130,1247,8150,2841,6930,3701,4765,2453
Benishangul-Gumuz,Asossa,Sherkole,2016,2740,1216,2270,1387,3820,2155,5615,4468,4226,3046
Benishangul-Gumuz,Asossa,Undullu,2016,1660,1002,1245,947,1980,1813,2732,2874,2085,1935
Benishangul-Gumuz,Assosa Town,Assosa Town,2016,7960,4158,5965,4286,9120,5733,14266,10986,8683,7368
Benishangul-Gumuz,Kamashi,Dambe Woreda,2016,1440,267,1490,385,3680,1174,3515,2299,4511,1893
Benishangul-Gumuz,Kamashi,Kamashi Woreda,2016,720,331,1240,486,3530,469,2551,2012,2290,1399
Benishangul-Gumuz,Kamashi,Mizhiga Woreda,2016,1960,502,1470,306,20240,1008,3555,1730,2379,1386
Benishangul-Gumuz,Kamashi,Sedal Woreda,2016,1720,584,1330,405,3480,546,4541,1731,3075,1306
Benishangul-Gumuz,Kamashi,Zay Woreda,2016,1660,425,1400,288,3150,305,3438,1595,3069,1336
Benishangul-Gumuz,Mao Komo,Mao Komo Special Zone,2016,5360,2714,4060,2534,7680,3460,9869,8431,6416,5792
Benishangul-Gumuz,Metekel,Bulen Woreda,2016,9200,1350,3825,1372,3460,2366,12798,4031,6300,2426
Benishangul-Gumuz,Metekel,Dangur Woreda,2016,6320,1963,4580,1868,3770,3045,5288,5788,6907,3526
Benishangul-Gumuz,Metekel,Dibate Woreda,2016,6700,2023,4765,1858,117240,3572,8562,5726,4165,3606
Benishangul-Gumuz,Metekel,Guba Woreda,2016,1400,552,150,515,1320,602,1531,1671,2056,1000
Benishangul-Gumuz,Metekel,Wembera Woreda,2016,11860,1141,5600,916,41920,1599,7217,3073,4918,2046
Oromia,West Wollega,Yubdo,2016,1800,1426,2235,2291,3590,2687,2609,4087,1788,3634
Oromia,West Wollega,Nole Kaba,2016,2300,1801,1125,2969,2250,6597,2825,5199,2310,4598
Oromia,West Wollega,Boji Choqorsa,2016,3000,1788,2275,3104,2350,3198,2535,5336,2200,4991
Oromia,West Wollega,Ayira,2016,2440,2559,3060,4259,3840,4394,3458,7341,2129,6978
Oromia,West Wollega,Ganji,2016,3100,4482,3175,7511,3300,7237,5800,12502,3925,11789
Oromia,West Wollega,Haru,2016,1300,2526,750,4242,1750,4419,3225,7250,1425,6412
Oromia,West Wollega,Boji Dirmeji,2016,1700,1447,1570,2342,880,2476,1843,4231,1350,3816
Oromia,West Wollega,Guliso,2016,2400,2663,3585,5142,5850,5294,3520,8680,3917,8099
Oromia,West Wollega,Leta Sibu,2016,1500,1636,975,2612,900,2959,1500,4729,1200,4071
Oromia,West Wollega,Jarso,2016,800,2118,400,3338,400,3206,1300,5546,850,5082
Oromia,West Wollega,Homa,2016,700,1344,600,2420,900,2605,900,4072,600,3804
Oromia,West Wollega,Nedjo Rural,2016,1500,3465,600,6084,1150,6444,1390,10003,1100,9429
Oromia,Woliso Town,Woliso Town,2016,6840,1878,3460,4094,4780,3733,10366,6728,6682,6279
